month,day,year,region,site,burn_year,transect,plot,book,species,height_cm,basal_diameter_cm,age,safe_site,radius_m,area_sampled_m2,notes
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,18,0.09,3,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,6,0.08,2,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,6,0.08,2,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,50,Siberia_2018_1,Larix cajanderi,37,0.87,5,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,50,Siberia_2018_1,Larix cajanderi,45,0.75,4,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,50,Siberia_2018_1,Larix cajanderi,57,0.9,6,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,50,Siberia_2018_1,Larix cajanderi,55,0.85,5,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,50,Siberia_2018_1,Larix cajanderi,100,1.2,9,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,75,Siberia_2018_1,Larix cajanderi,10,0.15,2,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
june,30,2018,Cherskiy,Gonzo,2001,3,75,Siberia_2018_1,Larix cajanderi,11,0.25,2,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
june,30,2018,Cherskiy,Gonzo,2001,3,75,Siberia_2018_1,Larix cajanderi,18,0.32,3,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
june,30,2018,Cherskiy,Gonzo,2001,3,100,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,30,2018,Cherskiy,Gonzo,2001,3,150,Siberia_2018_1,Larix cajanderi,70,1,2,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,150,Siberia_2018_1,Larix cajanderi,90,1.1,1,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,150,Siberia_2018_1,Larix cajanderi,80,1.3,8,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,200,Siberia_2018_1,Larix cajanderi,35,0.62,3,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,200,Siberia_2018_1,Larix cajanderi,190,2.35,10.5,no,2,12.5663706143592,Age is listed as 10-11 years and enterred as 10.5
june,30,2018,Cherskiy,FU,2015,1,-35,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,30,2018,Cherskiy,FU,2015,1,-15,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.11,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.1,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,6,0.14,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.08,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.01,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-35,Siberia_2018_1,Larix cajanderi,10,0.15,4,woody_debris,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,25,Siberia_2018_1,Larix cajanderi,3,0.07,1,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,50,Siberia_2018_1,Larix cajanderi,3,0.06,1,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,50,Siberia_2018_1,Larix cajanderi,4,0.13,2,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,50,Siberia_2018_1,Larix cajanderi,7,0.12,3,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,75,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
july,1,2018,Cherskiy,FU,2015,2,100,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
july,1,2018,Cherskiy,FU,2015,2,150,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
july,1,2018,Cherskiy,FU,2015,2,200,Siberia_2018_1,Larix cajanderi,1,0.05,1,hummock,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,2,200,Siberia_2018_1,Larix cajanderi,1,0.05,1,hummock,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,-50,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
july,1,2018,Cherskiy,FU,2015,3,-25,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
july,1,2018,Cherskiy,FU,2015,3,25,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits; impossible to search larger area for seedlings with all the grass
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.5,0.06,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,1,0.07,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.5,0.06,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.4,0.03,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.1,0.01,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,75,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,1,2018,Cherskiy,FU,2015,3,100,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,1,2018,Cherskiy,FU,2015,3,150,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,1,2018,Cherskiy,FU,2015,3,200,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,2,2018,Cherskiy,FOC,2015,1,-15a,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,2,2018,Cherskiy,FOC,2015,1,-15b,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits; radius not specified and assumed to be 1m
july,2,2018,Cherskiy,FOC,2015,1,25,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,2,2018,Cherskiy,FOC,2015,1,50,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,2,2018,Cherskiy,FOC,2015,1,75,Siberia_2018_1,Larix cajanderi,2,0.03,1,no_open_moss,1,3.14159265358979,NA
july,2,2018,Cherskiy,FOC,2015,1,100,Siberia_2018_1,Larix cajanderi,1,0.02,1,no_open_moss,1,3.14159265358979,NA
july,2,2018,Cherskiy,FOC,2015,1,150,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
july,2,2018,Cherskiy,FOC,2015,1,200,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,1,3.14159265358979,zero recruits
